Id,Sales
1,4060.5985778833224
2,7182.134590644892
3,8778.916188031973
4,7339.658251397001
5,7295.585816424062
6,5429.064734714279
7,7382.251578592076
8,7679.43913976052
9,4744.736278346626
10,5924.763652296417
11,6658.825673463163
12,8056.967006833886
13,7027.775966706788
14,8820.527104790297
15,5447.079429590222
16,4714.439857728476
17,5457.048600624559
18,9592.158045435048
19,10800.38709723435
20,9864.516835658775
21,7855.449526935735
22,4711.704173208204
23,5835.2759752365555
24,4459.300487693856
25,7792.085420116738
26,10820.757252779898
27,8417.919498779542
28,5694.903315029556
29,5275.116494949946
30,3969.54746165038
31,5381.536348828961
32,10402.772928449918
33,6741.260254974014
34,5294.201214089019
35,5309.9664500319195
36,7654.068669361748
37,3619.614346028572
38,7050.559878545382
39,4062.9251806152515
40,6519.379257116145
41,5993.7472585306205
42,5421.666467325101
43,7093.610027096689
44,6578.381888215544
45,4674.9202110011565
46,6703.171466793598
47,7030.30956770131
48,11127.63502949292
49,5911.8950286836825
50,8242.356804978446
51,6460.720286476458
52,8202.42535496555
53,6299.389318551285
54,9493.72992873619
55,4694.415531700534
56,5205.3304162887
57,5933.514460543985
58,5937.533510368691
59,8508.890929292485
60,6937.511372496531
61,5668.708027701134
62,6929.412432521221
63,6612.792639593841
64,10340.190404812318
65,3972.433714690853
66,12605.750185883544
67,5026.594601770441
68,5986.871798565225
69,8157.867056084809
70,4913.863077591041
71,6193.658676554339
72,6305.830415927428
73,7312.328134922305
74,5401.551322306591
75,5189.464105198272
76,7951.33256130507
77,7467.158272003496
78,6749.282811941493
79,5145.285109841819
80,6950.860129315853
81,10573.629191680922
82,6437.827706980602
83,4172.756006595576
84,6120.630287417823
85,5842.146795882067
86,5365.897038235391
87,7249.861017910451
88,4027.9627199346533
89,7919.459181361336
90,6039.3265261992565
91,6524.63338401978
92,6751.001800231481
93,4488.801903513966
94,5730.800957415819
95,5200.251108920624
96,7630.710328241606
97,8891.997141866248
98,4847.093366088134
99,5161.837828613215
100,6748.937802603954
101,5514.757241190679
102,5380.145639631976
103,7954.11786713148
104,6619.195665359213
105,6918.693776300863
106,5597.82376452158
107,4597.433310891914
108,6285.783381285937
109,7067.843690904254
